"country_code","country_name","income_group","year","indicator_name","gdp"
"JAM","Jamaica","Lower middle income (LM)",1987,"GDP (current US$)",3286987552
"JPN","Japan","High income (H)",1987,"GDP (current US$)",2.53281e+12
"JOR","Jordan","Lower middle income (LM)",1987,"GDP (current US$)",6755599114
"KEN","Kenya","Low income (L)",1987,"GDP (current US$)",7970820531
"KIR","Kiribati","Lower middle income (LM)",1987,"GDP (current US$)",33608738.27
"KOR","Korea, Rep.","Upper middle income (UM)",1987,"GDP (current US$)",1.46133e+11
"KWT","Kuwait","High income (H)",1987,"GDP (current US$)",22365734482
"LAO","Lao PDR","Low income (L)",1987,"GDP (current US$)",1087273104
"LSO","Lesotho","Low income (L)",1987,"GDP (current US$)",402774852.7
"LUX","Luxembourg","High income (H)",1987,"GDP (current US$)",8614215559
"MAC","Macao SAR, China","Upper middle income (UM)",1987,"GDP (current US$)",1941246972
"MDG","Madagascar","Low income (L)",1987,"GDP (current US$)",2565634382
"MWI","Malawi","Low income (L)",1987,"GDP (current US$)",1183094128
"MYS","Malaysia","Lower middle income (LM)",1987,"GDP (current US$)",32181695507
"MDV","Maldives","Low income (L)",1987,"GDP (current US$)",141268980.5
"MLI","Mali","Low income (L)",1987,"GDP (current US$)",2090629723
"MLT","Malta","Upper middle income (UM)",1987,"GDP (current US$)",1751247763
"MRT","Mauritania","Low income (L)",1987,"GDP (current US$)",909820596.8
"MUS","Mauritius","Lower middle income (LM)",1987,"GDP (current US$)",1880852914
"MEX","Mexico","Lower middle income (LM)",1987,"GDP (current US$)",1.47541e+11
"MAR","Morocco","Lower middle income (LM)",1987,"GDP (current US$)",21765261042
"NPL","Nepal","Low income (L)",1987,"GDP (current US$)",2957255380
"NLD","Netherlands","High income (H)",1987,"GDP (current US$)",2.45046e+11
"NCL","New Caledonia","Upper middle income (UM)",1987,"GDP (current US$)",1488113532
"NZL","New Zealand","High income (H)",1987,"GDP (current US$)",40376354070
"NIC","Nicaragua","Lower middle income (LM)",1987,"GDP (current US$)",3851213728
"NER","Niger","Low income (L)",1987,"GDP (current US$)",2233005823
"NGA","Nigeria","Low income (L)",1987,"GDP (current US$)",52676041931
"NOR","Norway","High income (H)",1987,"GDP (current US$)",94230055659
"OMN","Oman","Upper middle income (UM)",1987,"GDP (current US$)",7811183095
"PAK","Pakistan","Low income (L)",1987,"GDP (current US$)",33351528115
"PAN","Panama","Upper middle income (UM)",1987,"GDP (current US$)",6827665300
"PNG","Papua New Guinea","Lower middle income (LM)",1987,"GDP (current US$)",3143848331
"PRY","Paraguay","Lower middle income (LM)",1987,"GDP (current US$)",3971044724
"PER","Peru","Lower middle income (LM)",1987,"GDP (current US$)",20702298397
"PHL","Philippines","Lower middle income (LM)",1987,"GDP (current US$)",33195933430
"PRT","Portugal","Upper middle income (UM)",1987,"GDP (current US$)",48182925146
"PRI","Puerto Rico","Upper middle income (UM)",1987,"GDP (current US$)",24025800000
"QAT","Qatar","High income (H)",1987,"GDP (current US$)",5446428681
"ROU","Romania","Upper middle income (UM)",1987,"GDP (current US$)",38413636364
"RWA","Rwanda","Low income (L)",1987,"GDP (current US$)",2157434025
"WSM","Samoa","Lower middle income (LM)",1987,"GDP (current US$)",111713922.1
"SAU","Saudi Arabia","High income (H)",1987,"GDP (current US$)",85695861148
"SEN","Senegal","Lower middle income (LM)",1987,"GDP (current US$)",6381385760
"SYC","Seychelles","Upper middle income (UM)",1987,"GDP (current US$)",249267039.8
"SLE","Sierra Leone","Low income (L)",1987,"GDP (current US$)",701307602.3
"SGP","Singapore","High income (H)",1987,"GDP (current US$)",20919215578
"SLB","Solomon Islands","Low income (L)",1987,"GDP (current US$)",238606299.6
"SOM","Somalia","Low income (L)",1987,"GDP (current US$)",1009792724
"ZAF","South Africa","Lower middle income (LM)",1987,"GDP (current US$)",88573697222
"ESP","Spain","High income (H)",1987,"GDP (current US$)",3.18748e+11
"LKA","Sri Lanka","Low income (L)",1987,"GDP (current US$)",6682167120
"KNA","St. Kitts and Nevis","Upper middle income (UM)",1987,"GDP (current US$)",147748773.3
"LCA","St. Lucia","Lower middle income (LM)",1987,"GDP (current US$)",335887283.7
"VCT","St. Vincent and the Grenadines","Lower middle income (LM)",1987,"GDP (current US$)",175580647.4
"SDN","Sudan","Low income (L)",1987,"GDP (current US$)",20155555556
"SUR","Suriname","Upper middle income (UM)",1987,"GDP (current US$)",9.8e+08
"SWE","Sweden","High income (H)",1987,"GDP (current US$)",1.81511e+11
"CHE","Switzerland","High income (H)",1987,"GDP (current US$)",1.93466e+11
"SYR","Syrian Arab Republic","Lower middle income (LM)",1987,"GDP (current US$)",11356215713
"THA","Thailand","Lower middle income (LM)",1987,"GDP (current US$)",50535438696
"TGO","Togo","Low income (L)",1987,"GDP (current US$)",1249099130
"TON","Tonga","Lower middle income (LM)",1987,"GDP (current US$)",81667133.45
"TTO","Trinidad and Tobago","Upper middle income (UM)",1987,"GDP (current US$)",4797777778
"TUN","Tunisia","Lower middle income (LM)",1987,"GDP (current US$)",9696271268
"TUR","Turkey","Lower middle income (LM)",1987,"GDP (current US$)",87172789528
"UGA","Uganda","Low income (L)",1987,"GDP (current US$)",6269511615
"ARE","United Arab Emirates","High income (H)",1987,"GDP (current US$)",36384908744
"GBR","United Kingdom","High income (H)",1987,"GDP (current US$)",7.45163e+11
"USA","United States","High income (H)",1987,"GDP (current US$)",4.85522e+12
"URY","Uruguay","Upper middle income (UM)",1987,"GDP (current US$)",7367494080
"VUT","Vanuatu","Lower middle income (LM)",1987,"GDP (current US$)",130834145.1
"VEN","Venezuela, RB","Upper middle income (UM)",1987,"GDP (current US$)",48029034483
"VNM","Vietnam","Low income (L)",1987,"GDP (current US$)",36658108850
"ZMB","Zambia","Low income (L)",1987,"GDP (current US$)",2269894737
"ZWE","Zimbabwe","Lower middle income (LM)",1987,"GDP (current US$)",6741215100
"DZA","Algeria","Upper middle income (UM)",1988,"GDP (current US$)",59089067187
"AGO","Angola","Lower middle income (LM)",1988,"GDP (current US$)",8769250550
"ATG","Antigua and Barbuda","Upper middle income (UM)",1988,"GDP (current US$)",398637727.8
"ARG","Argentina","Upper middle income (UM)",1988,"GDP (current US$)",1.26207e+11
"ABW","Aruba","High income (H)",1988,"GDP (current US$)",596423607.1
"AUS","Australia","High income (H)",1988,"GDP (current US$)",2.35659e+11
"AUT","Austria","High income (H)",1988,"GDP (current US$)",1.33339e+11
"BHS","Bahamas, The","High income (H)",1988,"GDP (current US$)",2817900000
"BHR","Bahrain","High income (H)",1988,"GDP (current US$)",3702393617
"BGD","Bangladesh","Low income (L)",1988,"GDP (current US$)",26579005760
"BRB","Barbados","Upper middle income (UM)",1988,"GDP (current US$)",1540893949
"BEL","Belgium","High income (H)",1988,"GDP (current US$)",1.62299e+11
"BLZ","Belize","Lower middle income (LM)",1988,"GDP (current US$)",320093360.3
"BEN","Benin","Low income (L)",1988,"GDP (current US$)",1620246187
"BMU","Bermuda","High income (H)",1988,"GDP (current US$)",1415100032
"BTN","Bhutan","Low income (L)",1988,"GDP (current US$)",283855833.3
"BOL","Bolivia","Lower middle income (LM)",1988,"GDP (current US$)",4597615563
"BWA","Botswana","Lower middle income (LM)",1988,"GDP (current US$)",2644536804
"BRA","Brazil","Lower middle income (LM)",1988,"GDP (current US$)",3.30397e+11
"BFA","Burkina Faso","Low income (L)",1988,"GDP (current US$)",2616040646
"BDI","Burundi","Low income (L)",1988,"GDP (current US$)",1082403219
"CPV","Cabo Verde","Lower middle income (LM)",1988,"GDP (current US$)",264308140.3
"CMR","Cameroon","Lower middle income (LM)",1988,"GDP (current US$)",12493286762
"CAN","Canada","High income (H)",1988,"GDP (current US$)",5.07354e+11
"CAF","Central African Republic","Low income (L)",1988,"GDP (current US$)",1264899368
"TCD","Chad","Low income (L)",1988,"GDP (current US$)",1482597299
"CHL","Chile","Lower middle income (LM)",1988,"GDP (current US$)",26040229793
"CHN","China","Low income (L)",1988,"GDP (current US$)",3.12354e+11
"COL","Colombia","Lower middle income (LM)",1988,"GDP (current US$)",39212550050
"COM","Comoros","Low income (L)",1988,"GDP (current US$)",356500026.7
"COD","Congo, Dem. Rep.","Low income (L)",1988,"GDP (current US$)",8861299977
"COG","Congo, Rep.","Lower middle income (LM)",1988,"GDP (current US$)",2212536313
"CRI","Costa Rica","Lower middle income (LM)",1988,"GDP (current US$)",4614629898
"CIV","Côte d'Ivoire","Lower middle income (LM)",1988,"GDP (current US$)",10255170460
"CYP","Cyprus","High income (H)",1988,"GDP (current US$)",4278792597
"DNK","Denmark","High income (H)",1988,"GDP (current US$)",1.15553e+11
"DMA","Dominica","Lower middle income (LM)",1988,"GDP (current US$)",171106184.1
"DOM","Dominican Republic","Lower middle income (LM)",1988,"GDP (current US$)",5374314928
"ECU","Ecuador","Lower middle income (LM)",1988,"GDP (current US$)",13051886552
"EGY","Egypt, Arab Rep.","Lower middle income (LM)",1988,"GDP (current US$)",34980124929
"SLV","El Salvador","Lower middle income (LM)",1988,"GDP (current US$)",4189880000
"GNQ","Equatorial Guinea","Low income (L)",1988,"GDP (current US$)",100534663.3
"SWZ","Eswatini","Lower middle income (LM)",1988,"GDP (current US$)",692016714.3
"ETH","Ethiopia","Low income (L)",1988,"GDP (current US$)",10908935749
"FJI","Fiji","Lower middle income (LM)",1988,"GDP (current US$)",1109976928
"FIN","Finland","High income (H)",1988,"GDP (current US$)",1.09059e+11
"FRA","France","High income (H)",1988,"GDP (current US$)",1.01885e+12
"GAB","Gabon","Upper middle income (UM)",1988,"GDP (current US$)",3834503378
"GMB","Gambia, The","Low income (L)",1988,"GDP (current US$)",266673126.2
"DEU","Germany","High income (H)",1988,"GDP (current US$)",1.40123e+12
"GHA","Ghana","Low income (L)",1988,"GDP (current US$)",5197840979
"GRC","Greece","Upper middle income (UM)",1988,"GDP (current US$)",76261278405
"GRL","Greenland","High income (H)",1988,"GDP (current US$)",898611007.9
"GRD","Grenada","Lower middle income (LM)",1988,"GDP (current US$)",236357523.7
"GTM","Guatemala","Lower middle income (LM)",1988,"GDP (current US$)",7841602824
"GIN","Guinea","Low income (L)",1988,"GDP (current US$)",2384295764
"GNB","Guinea-Bissau","Low income (L)",1988,"GDP (current US$)",164458120.3
"GUY","Guyana","Low income (L)",1988,"GDP (current US$)",413799990
"HTI","Haiti","Low income (L)",1988,"GDP (current US$)",2613926800
"HND","Honduras","Lower middle income (LM)",1988,"GDP (current US$)",5902717092
"HKG","Hong Kong SAR, China","High income (H)",1988,"GDP (current US$)",59707404561
"ISL","Iceland","High income (H)",1988,"GDP (current US$)",6115814935
"IND","India","Low income (L)",1988,"GDP (current US$)",2.96589e+11
"IDN","Indonesia","Low income (L)",1988,"GDP (current US$)",84300174477
"IRN","Iran, Islamic Rep.","Upper middle income (UM)",1988,"GDP (current US$)",1.23058e+11
"IRQ","Iraq","Upper middle income (UM)",1988,"GDP (current US$)",62503055645
"IRL","Ireland","High income (H)",1988,"GDP (current US$)",37818133293
"ISR","Israel","High income (H)",1988,"GDP (current US$)",50099381786
"ITA","Italy","High income (H)",1988,"GDP (current US$)",8.91609e+11
"JAM","Jamaica","Lower middle income (LM)",1988,"GDP (current US$)",3828310735
"JPN","Japan","High income (H)",1988,"GDP (current US$)",3.07168e+12
"JOR","Jordan","Lower middle income (LM)",1988,"GDP (current US$)",6277197435
"KEN","Kenya","Low income (L)",1988,"GDP (current US$)",8355380879
"KIR","Kiribati","Lower middle income (LM)",1988,"GDP (current US$)",42972107.2
"KOR","Korea, Rep.","Upper middle income (UM)",1988,"GDP (current US$)",1.96964e+11
"KWT","Kuwait","High income (H)",1988,"GDP (current US$)",20692472760
"LAO","Lao PDR","Low income (L)",1988,"GDP (current US$)",598961269.3
"LBN","Lebanon","Lower middle income (LM)",1988,"GDP (current US$)",3313540068
"LSO","Lesotho","Low income (L)",1988,"GDP (current US$)",470389179.7
"LUX","Luxembourg","High income (H)",1988,"GDP (current US$)",9750161053
"MAC","Macao SAR, China","Upper middle income (UM)",1988,"GDP (current US$)",2269233639
"MDG","Madagascar","Low income (L)",1988,"GDP (current US$)",2442507588
"MWI","Malawi","Low income (L)",1988,"GDP (current US$)",1379924257
"MYS","Malaysia","Lower middle income (LM)",1988,"GDP (current US$)",35271880250
"MDV","Maldives","Low income (L)",1988,"GDP (current US$)",168610478.4
"MLI","Mali","Low income (L)",1988,"GDP (current US$)",2169040742
"MLT","Malta","Upper middle income (UM)",1988,"GDP (current US$)",2019474244
"MRT","Mauritania","Low income (L)",1988,"GDP (current US$)",957377548.5
"MUS","Mauritius","Lower middle income (LM)",1988,"GDP (current US$)",2134517068
"MEX","Mexico","Lower middle income (LM)",1988,"GDP (current US$)",1.81612e+11
"MAR","Morocco","Lower middle income (LM)",1988,"GDP (current US$)",25705296184
"NPL","Nepal","Low income (L)",1988,"GDP (current US$)",3487009748
"NLD","Netherlands","High income (H)",1988,"GDP (current US$)",2.61911e+11
"NCL","New Caledonia","Upper middle income (UM)",1988,"GDP (current US$)",2072735787
"NZL","New Zealand","High income (H)",1988,"GDP (current US$)",45176811594
"NIC","Nicaragua","Lower middle income (LM)",1988,"GDP (current US$)",2630904262
"NER","Niger","Low income (L)",1988,"GDP (current US$)",2280356338
"NGA","Nigeria","Low income (L)",1988,"GDP (current US$)",49648470440
"NOR","Norway","High income (H)",1988,"GDP (current US$)",1.019e+11
"OMN","Oman","Upper middle income (UM)",1988,"GDP (current US$)",8386215865
"PAK","Pakistan","Low income (L)",1988,"GDP (current US$)",38472741737
"PAN","Panama","Lower middle income (LM)",1988,"GDP (current US$)",5902783400
"PNG","Papua New Guinea","Lower middle income (LM)",1988,"GDP (current US$)",3655979702
"PRY","Paraguay","Lower middle income (LM)",1988,"GDP (current US$)",4255683528
"PER","Peru","Lower middle income (LM)",1988,"GDP (current US$)",15439408447
"PHL","Philippines","Lower middle income (LM)",1988,"GDP (current US$)",37885440419
"PRT","Portugal","Upper middle income (UM)",1988,"GDP (current US$)",56347251114
"PRI","Puerto Rico","Upper middle income (UM)",1988,"GDP (current US$)",26385800000
"QAT","Qatar","High income (H)",1988,"GDP (current US$)",6038187033
"ROU","Romania","Upper middle income (UM)",1988,"GDP (current US$)",40809523810
"RWA","Rwanda","Low income (L)",1988,"GDP (current US$)",2395493878
"WSM","Samoa","Lower middle income (LM)",1988,"GDP (current US$)",133016065.4
"SAU","Saudi Arabia","High income (H)",1988,"GDP (current US$)",88256074766
"SEN","Senegal","Lower middle income (LM)",1988,"GDP (current US$)",6311054901
"SYC","Seychelles","Upper middle income (UM)",1988,"GDP (current US$)",283828769
"SLE","Sierra Leone","Low income (L)",1988,"GDP (current US$)",1055083945
"SGP","Singapore","High income (H)",1988,"GDP (current US$)",25371462488
"SLB","Solomon Islands","Lower middle income (LM)",1988,"GDP (current US$)",310684273.7
"SOM","Somalia","Low income (L)",1988,"GDP (current US$)",1038291284
"ZAF","South Africa","Upper middle income (UM)",1988,"GDP (current US$)",95176640968
"ESP","Spain","High income (H)",1988,"GDP (current US$)",3.7616e+11
"LKA","Sri Lanka","Low income (L)",1988,"GDP (current US$)",6978371581
"KNA","St. Kitts and Nevis","Upper middle income (UM)",1988,"GDP (current US$)",172692174.4
"LCA","St. Lucia","Lower middle income (LM)",1988,"GDP (current US$)",384376809.6
"VCT","St. Vincent and the Grenadines","Lower middle income (LM)",1988,"GDP (current US$)",200726712.6
"SDN","Sudan","Low income (L)",1988,"GDP (current US$)",15399166667
"SUR","Suriname","Upper middle income (UM)",1988,"GDP (current US$)",1.161e+09
"SWE","Sweden","High income (H)",1988,"GDP (current US$)",2.05292e+11
"CHE","Switzerland","High income (H)",1988,"GDP (current US$)",2.09298e+11
"SYR","Syrian Arab Republic","Lower middle income (LM)",1988,"GDP (current US$)",10577042355
"TZA","Tanzania","Low income (L)",1988,"GDP (current US$)",5100405772
"THA","Thailand","Lower middle income (LM)",1988,"GDP (current US$)",61667199835
"TGO","Togo","Low income (L)",1988,"GDP (current US$)",1378847487
"TON","Tonga","Lower middle income (LM)",1988,"GDP (current US$)",106657267.4
"TTO","Trinidad and Tobago","Upper middle income (UM)",1988,"GDP (current US$)",4496852073
"TUN","Tunisia","Lower middle income (LM)",1988,"GDP (current US$)",10096292842
"TUR","Turkey","Lower middle income (LM)",1988,"GDP (current US$)",90852814005
"UGA","Uganda","Low income (L)",1988,"GDP (current US$)",6508931652
"ARE","United Arab Emirates","High income (H)",1988,"GDP (current US$)",36275674203
"GBR","United Kingdom","High income (H)",1988,"GDP (current US$)",9.10123e+11
"USA","United States","High income (H)",1988,"GDP (current US$)",5.23644e+12
"URY","Uruguay","Upper middle income (UM)",1988,"GDP (current US$)",8213515459
"VUT","Vanuatu","Lower middle income (LM)",1988,"GDP (current US$)",148545381.4
"VEN","Venezuela, RB","Upper middle income (UM)",1988,"GDP (current US$)",60226413793
"VNM","Vietnam","Low income (L)",1988,"GDP (current US$)",25423812649
"ZMB","Zambia","Low income (L)",1988,"GDP (current US$)",3713614458
"ZWE","Zimbabwe","Lower middle income (LM)",1988,"GDP (current US$)",7814784100
"DZA","Algeria","Lower middle income (LM)",1989,"GDP (current US$)",55631489802
"AGO","Angola","Lower middle income (LM)",1989,"GDP (current US$)",10201099040
"ATG","Antigua and Barbuda","Upper middle income (UM)",1989,"GDP (current US$)",438794788.5
"ARG","Argentina","Lower middle income (LM)",1989,"GDP (current US$)",76636898036
"ABW","Aruba","High income (H)",1989,"GDP (current US$)",695304363
"AUS","Australia","High income (H)",1989,"GDP (current US$)",2.99268e+11
"AUT","Austria","High income (H)",1989,"GDP (current US$)",1.33106e+11
"BHS","Bahamas, The","High income (H)",1989,"GDP (current US$)",3.062e+09
"BHR","Bahrain","High income (H)",1989,"GDP (current US$)",3863563830
"BGD","Bangladesh","Low income (L)",1989,"GDP (current US$)",28781714764
"BRB","Barbados","High income (H)",1989,"GDP (current US$)",1703972555
"BEL","Belgium","High income (H)",1989,"GDP (current US$)",1.64221e+11
"BLZ","Belize","Lower middle income (LM)",1989,"GDP (current US$)",369133890.7
"BEN","Benin","Low income (L)",1989,"GDP (current US$)",1502294411
"BMU","Bermuda","High income (H)",1989,"GDP (current US$)",1501500032
"BTN","Bhutan","Low income (L)",1989,"GDP (current US$)",275949889.1
"BOL","Bolivia","Lower middle income (LM)",1989,"GDP (current US$)",4715978868
"BWA","Botswana","Lower middle income (LM)",1989,"GDP (current US$)",3083800685
"BRA","Brazil","Upper middle income (UM)",1989,"GDP (current US$)",4.25595e+11
"BGR","Bulgaria","Lower middle income (LM)",1989,"GDP (current US$)",21988444444
"BFA","Burkina Faso","Low income (L)",1989,"GDP (current US$)",2615588546
"BDI","Burundi","Low income (L)",1989,"GDP (current US$)",1113924130
"CPV","Cabo Verde","Lower middle income (LM)",1989,"GDP (current US$)",267448513.1
"CMR","Cameroon","Lower middle income (LM)",1989,"GDP (current US$)",11140055364
"CAN","Canada","High income (H)",1989,"GDP (current US$)",5.65056e+11
"CAF","Central African Republic","Low income (L)",1989,"GDP (current US$)",1233930277
"TCD","Chad","Low income (L)",1989,"GDP (current US$)",1433686310
"CHL","Chile","Lower middle income (LM)",1989,"GDP (current US$)",29885685143
"CHN","China","Low income (L)",1989,"GDP (current US$)",3.47768e+11
"COL","Colombia","Lower middle income (LM)",1989,"GDP (current US$)",39540080200
"COM","Comoros","Low income (L)",1989,"GDP (current US$)",341476764
"COD","Congo, Dem. Rep.","Low income (L)",1989,"GDP (current US$)",9021862775
"COG","Congo, Rep.","Lower middle income (LM)",1989,"GDP (current US$)",2389593022
"CRI","Costa Rica","Lower middle income (LM)",1989,"GDP (current US$)",5251025767
"CIV","Côte d'Ivoire","Lower middle income (LM)",1989,"GDP (current US$)",9757410614
"CYP","Cyprus","High income (H)",1989,"GDP (current US$)",4563482604
"DNK","Denmark","High income (H)",1989,"GDP (current US$)",1.12409e+11
"DMA","Dominica","Lower middle income (LM)",1989,"GDP (current US$)",185137243
"DOM","Dominican Republic","Lower middle income (LM)",1989,"GDP (current US$)",6686593060
"ECU","Ecuador","Lower middle income (LM)",1989,"GDP (current US$)",13890828708
"EGY","Egypt, Arab Rep.","Lower middle income (LM)",1989,"GDP (current US$)",39756299050
"SLV","El Salvador","Lower middle income (LM)",1989,"GDP (current US$)",4372215300
"GNQ","Equatorial Guinea","Low income (L)",1989,"GDP (current US$)",88265974.58
"SWZ","Eswatini","Lower middle income (LM)",1989,"GDP (current US$)",696915430.7
"ETH","Ethiopia","Low income (L)",1989,"GDP (current US$)",11476584879
"FJI","Fiji","Lower middle income (LM)",1989,"GDP (current US$)",1182686577
"FIN","Finland","High income (H)",1989,"GDP (current US$)",1.19012e+11
"FRA","France","High income (H)",1989,"GDP (current US$)",1.02521e+12
"GAB","Gabon","Upper middle income (UM)",1989,"GDP (current US$)",4186411457
"GMB","Gambia, The","Low income (L)",1989,"GDP (current US$)",284119692.5
"DEU","Germany","High income (H)",1989,"GDP (current US$)",1.39897e+12
"GHA","Ghana","Low income (L)",1989,"GDP (current US$)",5251764264
"GRC","Greece","Upper middle income (UM)",1989,"GDP (current US$)",79169043642
"GRL","Greenland","High income (H)",1989,"GDP (current US$)",929796722.4
"GRD","Grenada","Lower middle income (LM)",1989,"GDP (current US$)",267327642.2
"GTM","Guatemala","Lower middle income (LM)",1989,"GDP (current US$)",8410724361
"GIN","Guinea","Low income (L)",1989,"GDP (current US$)",2432029380
"GNB","Guinea-Bissau","Low income (L)",1989,"GDP (current US$)",213143016.4
"GUY","Guyana","Low income (L)",1989,"GDP (current US$)",379779389.7
"HTI","Haiti","Low income (L)",1989,"GDP (current US$)",2736243800
"HND","Honduras","Lower middle income (LM)",1989,"GDP (current US$)",5432344902
"HKG","Hong Kong SAR, China","High income (H)",1989,"GDP (current US$)",68790369107
"ISL","Iceland","High income (H)",1989,"GDP (current US$)",5681096096
"IND","India","Low income (L)",1989,"GDP (current US$)",2.96042e+11
"IDN","Indonesia","Low income (L)",1989,"GDP (current US$)",94451427898
"IRN","Iran, Islamic Rep.","Upper middle income (UM)",1989,"GDP (current US$)",1.20496e+11
"IRQ","Iraq","Upper middle income (UM)",1989,"GDP (current US$)",65641363783
"IRL","Ireland","High income (H)",1989,"GDP (current US$)",39285383971
"ISR","Israel","High income (H)",1989,"GDP (current US$)",49901966662
"ITA","Italy","High income (H)",1989,"GDP (current US$)",9.28661e+11
"JAM","Jamaica","Lower middle income (LM)",1989,"GDP (current US$)",4404970059
"JPN","Japan","High income (H)",1989,"GDP (current US$)",3.05491e+12
"JOR","Jordan","Lower middle income (LM)",1989,"GDP (current US$)",4220945005
